"Subject" "AbsTrial" "List" "CardSet" "VerbCat" "Confusable." "TargBinary" "PTnumeric" "VerbClass" "Item" "PrimeType" "Homogeneity"
"246" 12 576 4 2 "throw" 0 1 0 "Dative" 22 "dispreferred" "Heterogenous"
"247" 13 577 5 3 "give" 1 1 1 "Dative" 3 "preferred" "Homogenous"
"248" 13 580 5 3 "give" 1 1 1 "Dative" 4 "preferred" "Homogenous"
"249" 13 583 5 3 "give" 1 1 0 "Dative" 5 "dispreferred" "Homogenous"
"250" 13 585 5 3 "spray" 0 1 1 "Locative" 42 "preferred" "Heterogenous"
"251" 13 586 5 3 "give" 1 1 0 "Dative" 6 "dispreferred" "Homogenous"
"252" 13 589 5 3 "give" 0 0 0 "Dative" 1 "dispreferred" "Heterogenous"
"253" 13 592 5 3 "read" 0 0 0 "Dative" 9 "dispreferred" "Heterogenous"
"254" 13 595 5 3 "show" 0 0 1 "Dative" 13 "preferred" "Heterogenous"
"255" 13 596 5 3 "put" 1 0 1 "Locative" 29 "preferred" "Homogenous"
"256" 13 598 5 3 "throw" 0 1 1 "Dative" 20 "preferred" "Heterogenous"
"257" 13 602 5 3 "rub" 0 1 1 "Locative" 34 "preferred" "Heterogenous"
"258" 13 603 5 3 "show" 1 1 0 "Dative" 16 "dispreferred" "Homogenous"
"259" 13 606 5 3 "show" 1 0 0 "Dative" 15 "dispreferred" "Homogenous"
"260" 13 608 5 3 "sprinkle" 0 1 0 "Locative" 47 "dispreferred" "Heterogenous"
"261" 13 611 5 3 "spray" 0 1 0 "Locative" 40 "dispreferred" "Heterogenous"
"262" 13 612 5 3 "show" 1 1 1 "Dative" 18 "preferred" "Homogenous"
"263" 13 613 5 3 "spray" 1 1 0 "Locative" 41 "dispreferred" "Homogenous"
"264" 13 615 5 3 "read" 0 1 0 "Dative" 10 "dispreferred" "Heterogenous"
"265" 13 619 5 3 "spray" 1 0 1 "Locative" 39 "preferred" "Homogenous"
"266" 13 621 5 3 "throw" 0 1 1 "Dative" 21 "preferred" "Heterogenous"
